Source,Symbol,Data Size (bytes),Throughput,"Busiest Time (Data collected for 60 seconds Btw 13:28:07, 29 Apr 2024 till 13:29:07, 29 Apr 2024)",Throughput in the interval,messages count received during interval
bybit,publicTrade.BTCUSDT,151389,2523,2024-04-29T13:28:30+10:00,5542.90,217
okx,sprd-books5,318,5,2024-04-29T13:28:00+10:00,10.70,2
okx,sprd-public-trades,114,1,2024-04-29T13:28:00+10:00,11.40,1
coinbase,BTC-USD,116172,1936,2024-04-29T13:28:30+10:00,2657.20,66
binance,btcusdt,131467,2191,2024-04-29T13:28:30+10:00,3328.40,199
okx,sprd-tickers,326,5,2024-04-29T13:28:00+10:00,10.80,2
coinbase,ETH-USD,165348,2755,2024-04-29T13:28:30+10:00,7399.20,185
binance,solusdt,33707,561,2024-04-29T13:28:30+10:00,1138.90,70
binance,ethusdt,249488,4158,2024-04-29T13:28:30+10:00,11899.00,715
coinbase,BTC-ETH,128,2,2024-04-29T13:28:00+10:00,9.00,2
bybit,orderbook.50.BTCUSDT,1010316,16838,2024-04-29T13:28:30+10:00,21417.10,485
polygon-ankr-rpc,,919856,15330,2024-04-29T13:28:20+10:00,17162.30,3
ethereum-ankr-rpc,,218175,3636,2024-04-29T13:28:30+10:00,7719.40,1
bybit,kline.M.BTCUSDT,15137,252,2024-04-29T13:28:40+10:00,300.70,10
bybit,tickers.BTCUSDT,218856,3647,2024-04-29T13:28:30+10:00,7737.50,237
dydx,MATIC-USD,11941,199,2024-04-29T13:28:00+10:00,1079.50,2
dydx,ETH-USD,23918,398,2024-04-29T13:28:00+10:00,1255.10,9
dydx,SOL-USD,10768,179,2024-04-29T13:28:00+10:00,9.00,2
dydx,LINK-USD,10816,180,2024-04-29T13:28:00+10:00,1055.50,2
okx,sprd-bbo-tbt,261,4,2024-04-29T13:28:00+10:00,10.80,2
dydx,BTC-USD,14570,242,2024-04-29T13:28:00+10:00,1083.00,2
